en	ha
Wood.##bed,book,remote,backpack	Katako.
What is beside the plate?##broccoli,broccoli,broccoli,broccoli,broccoli,fork,broccoli,broccoli,broccoli,broccoli	Menene a gefen farantin?
4##skateboard,person,person,person,car,person,chair,cell phone,person,person	4
Plate.##wine glass,dining table,pizza,broccoli,sandwich	Faranti.
Opened.##laptop,person,bird,car,bird,car,car,person,bird,bird	ɓuɗe
What kind of stain is on the concrete to the right?##dog,dog,person,bicycle,dog,car,truck,car,person,person	Wani irin tabo ne a jikin kankaren hannun dama?
Who has blue eyes?##cell phone,person,person,person	Waye ke da shuɗi ido?
What person is falling?##person,skateboard,person,skateboard,person	Wani mutum ne yake faɗowa?
A cell phone.##laptop,cup,cup,laptop,person,chair,pizza,person,keyboard,dining table	Wayar hannu.
Three.##bed,bed	Uku.
What kind of animal?##horse,bird,bird,bird,bird,bird	Wana irin dabba ne?
White.##spoon,cup,oven,microwave,cup,spoon,sink,spoon	Fari.
When was the photo taken?##car,car,car,car,car,car,traffic light,bus,person,traffic light	Yaushe aka ɗauki hoton?
Glass.##vase,person,person,chair,chair,vase	Tangaran.
In the front.##traffic light,traffic light,car,car,car,car,car,car,car,car	A gaban.
What is the man poking the fruit with?##apple,person,knife,apple,chair	Dame mutumin ke huda abun marmarin?
Dirt.##horse,horse	ƙasa.
Food Tray.##hot dog,hot dog,hot dog,hot dog	Akan farantin
How many dogs are there?##dog	Kare nawane anan?
When is the bus arriving?##motorcycle,motorcycle,car,car,car,car,car,car,car,car	Yaushe bas ɗin zata iso?
Where is the pizza?##pizza,bowl,dining table,bottle,spoon,spoon,cup,cup,pizza	Ina fiza take?
What color is the cat?##cat,cat,cat,cat	Menene launin magen?
What color is the counter?##pizza	Menene launin kantar?
Black.##sheep,sheep,sheep,bird	Baƙi.
How many men are standing?##person,person,person,person,cup,person,person,person,person,person	Maza nawa ne a tsaye?
The camera person.##zebra,zebra,zebra,zebra,zebra,cow,zebra	Mai rike da kamera.
No one.##clock,car,car,person,person,person,person	Babu kowa.
What is the bench made of?##bench,bird,bird,car,bus,bird,car,person,person,truck	Da me akayi bencin?
What is covering the ground?##umbrella,umbrella,person,person,handbag	Menene ya rufe ƙasa?
White.##person,person,person,person,person,motorcycle,person,person,person,person	Fari.
Where are green leaves?##bear	Ina korayen ganyayyakin?
Blue.##dog,frisbee	shuɗi.
What is the person looking at?##surfboard,person	Me mutumin yake kallo?
What color is the grass?##dog,car,car,car,person,traffic light	Wacce launi ce ciyawar?
Why can you not see the cars?##traffic light,car,car,person,person,car,traffic light,traffic light,person,train	Me yasa ba`a iya ganin motocin?
Daytime.##person,bed,laptop	Da rana.
Bathroom.##toilet,sink,sink	Ban daki.
Sticks.##elephant,person,elephant,person,person,person,elephant,person,person,person	Sanduna.
Leather.##dog,remote,remote,couch,backpack,couch	Fata.
Who is casting shadows?##skateboard,person,person	Waye yake saka inuwa?
On the plate.##fork,cup,knife,wine glass,dining table,fork,cup,fork,vase,bowl	Akan farantin.
2##giraffe,giraffe,car	2
Ramp.##person,skateboard,person,skateboard,person	Gangara.
Who is holding a blue umbrella?##person,car,person,handbag,umbrella,umbrella,person,bicycle,traffic light,umbrella	Wanene yake riƙe da lema mai launin shuɗi?
What state could this scene be located in?##dog,person,skateboard,bench	A wani gari za'a iya samun wannan scene ɗin?
Why is the screen black?##cell phone	Meyasa fuskar tayi baki.
Who is there with her?##person,boat	Waye a gurin tare da ita ?
A motorbike.##motorcycle,dog,dog,cat	Babur.
Yellow.##person,car,person,horse,bicycle,umbrella,person,person,person,umbrella	Rawaya.
What kind of pants are the man on the left wearing?##person,person,tennis racket,tennis racket	Wani irin wando mutumin dake hagu yake sanye dashi?
Clear and blue.##airplane	Shuɗi a bayyane.
What color is the low hanging flower?##banana	Wana launi ne furan dayake rataye a ƙasa?
What is next to the keyboard?##keyboard,bottle,tv,bottle,mouse,cell phone,tv,tv	Mene a kusa da madannai?
Big Ben.##clock,clock,boat	Big Ben.
What is on the plate?##fork,cup,knife,wine glass,dining table,fork,cup,fork,vase,bowl	Menene a kan farantin?
One.##orange,person,orange,orange,orange,orange,orange,orange,cup,orange	Ɗaya.
How does the background look?##skateboard,person	Yaya kasan bayan yake?
Behind the zebras.##zebra,zebra	Bayan jakunan dawa?
What is the man riding?##motorcycle,person,person,motorcycle	Me mutumin yake tuƙawa?
Green linoleum.##toilet,sink,sink,hair drier	Koren linoleum.
Walking.##person,person,person,person,person,snowboard,person,person,person,person	Tafiya.
What vehicle is this?##person,train,person,person,person,person,handbag	Wanne abun sufuri ne wannan?
Under the bananas.##banana,banana,bottle,dining table	Kasan ayaba.
Large umbrella.##umbrella,person,person	Babbar lema.
Blanket.##tie,knife,person	Bargo.
Two.##zebra	Biyu.
Clouds.##horse,kite,kite	Gajimare.
A person walking on a crossing strip.##stop sign,car,stop sign	Mutum yana tafiya a tsakiyar layika.
What is the weather like?##truck,truck,truck	Ya yanayi yake?
What are the crackers on?##cup,person,fork,dining table,broccoli,cup,broccoli,broccoli,pizza,cup	Akan me crackers ɗin suke?
How many people are in the photo?##person,skateboard	Mutane nawa ne a hoton?
Orange.##bird,bird,frisbee	Launin lemo
Hats.##person,person,chair,pizza,dining table,person,carrot,bowl,chair,bowl	Huluna.
"A large, old tree, on side of trail."##motorcycle,person,person,backpack,motorcycle	"Babbar, tsohuwar bishiya, a gefen sawun."
What is on the tower?##clock,clock,umbrella	Menene a kan hasumiyar?
On the bike.##person,motorcycle,car,car,car,backpack,backpack,car,backpack	Akan abun hawa.
Who is walking down the beach?##person,surfboard,person,surfboard	Waye yake tafiya a gefen gaɓar ruwa?
Grey.##elephant,elephant	Ruwan ƙasa.
Green.##cat,tv,book,book,book	Kore.
How would you describe the color of the tables?##person,person,dining table,person,person,person,person,person,handbag,cake	Yaya zaka bayyana launin teburan?
The short one.##bench,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella	Guntun.
What on top of the groom teddy bear head?##cake,tie,dining table,teddy bear	Menene  saman kan angon teddy bear?
When is the picture taken?##motorcycle,motorcycle,person,car,person,person,person,car,person,person	Da yaushe aka ɗauki hoton?
Where is the red eye?##bird	Ina jan idon?
Green.##person,person,person,person,person,person,person,person,person,person	Kore.
Both children.##umbrella,person,person,potted plant,potted plant,potted plant,kite,handbag,handbag,potted plant	Duk yaran biyu.
What is the man holding?##person,surfboard,person	Me mutumin yake riƙe dashi?
What is growing wild?##horse,kite,kite	Menene yake girman sosai?
A mane.##zebra,zebra,cow,bird	Geza.
Surfboard.##person,surfboard	Allon hawan igiyar ruwa.
A tree.##truck,car,bottle,car,person,car,truck,person,truck,car	Bishiya.
People.##person,person,person,person,person,person,snowboard,person	Mutane.
What color are the pillows?##bed,bed,book,potted plant,chair,chair,chair,book	Mene launin matasan kai din?
What matches the color of the leash?##dog	Da me maɗaurin yayi kama?
What is the man doing in the photo?##person,person,person,person,frisbee,person,person,person,person,person	Me mutumin yakeyi a jikin hoton?
On the left.##	Suna gefen hagu.
How is the weather?##car,person,traffic light,traffic light,person,fire hydrant,traffic light,traffic light,traffic light,traffic light	Yaya yanayin?
A cell phone.##person,car,car,person,car,car,handbag,car,handbag,car	Wayar salula.
During the day.##person,motorcycle,person,frisbee	Da rana.
Blue.##boat,person	Shuɗi.
What colour is the train?##train,traffic light	Wani launi ne jirgin ƙasan?
Left hand holding a sandwich.##hot dog,hot dog,person,person,person,person,sandwich,person	Hannun hagun riƙe da sanwici.
What is on the trash can?##toilet	Menene a jikin kwandon shara?
Black.##boat,dog,boat,boat,person,person,boat,boat,boat,boat	Baƙi.
What kind of boat?##boat,boat,boat,boat,boat,boat,boat,boat,boat,boat	Wana irin jirgin ruwa ne?
When was this photographed?##person,person,person,person,person,person,person,baseball glove,person,person	A yaushe aka dauki    A yaushe aka ɗauki wannan hoton?
When is this night or day?##bus	Wanne lokaci wannan dare ko rana?
2##clock	2
Two.##person,frisbee,person,bench	Biyu.
When was the picture taken?##person,person,person,motorcycle,person,person,person,person	Yaushe aka ɗauki hoton?
What color are the man's pants?##person,skis,person,backpack	Mene launin jirgin wandon mutumin?
Why is her hair up?##person,tennis racket,person,person,person,chair	Me yasa gashinta a sama?
What is around the girl's neck?##person,motorcycle,car,car,person,person,person,person,person,person	Me yake wuyan yarinyar?
In the zoo.##giraffe,giraffe,person,person	A gidan ajjiye namomin daji
Two.##person,person,kite,kite	Biyu.
Nipples.##person,motorcycle,person,person,person,person,person,car,motorcycle,person	Kan nonan sa.
Far left.##person,person,person,person,truck,person,person,person,airplane,person	Nesan hagu.
How many people are in the picture?##bench,car,car,bench,bench,bird,car,bench,bench,bench	Mutane nawane a hotan?
What color are the shrubs?##car,person,traffic light,traffic light,person,fire hydrant,traffic light,traffic light,traffic light,traffic light	Wane launi ne da itaciya shurub?
What is on the skier's back?##person,person,person,person,person,skis,person,person,person,skis	Menene a bayan mai sulun ƙanƙara?
Where is the white and black piece of fabric?##dog,suitcase,suitcase,dog,suitcase,car,teddy bear	Ina fari da baƙin ƙyallen yadin?
Teddy bears.##teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear	teddy bear.
Daytime.##cat	Da rana.
Where is sign?##traffic light	Ina alamar?
One.##bird	ɗaya.
What time of day is it?##person,motorcycle,person,person,person,bicycle,motorcycle,motorcycle,motorcycle,bicycle	Wani lokacin rana ne wannan?
Why is she playing?##person,tennis racket,sports ball,car	Meyasa take wasan?
What is blue?##person,person,handbag,bench	Menen shuɗi?
Green.##giraffe,giraffe,giraffe	Kore.
In the snow.##person,skis,snowboard,skis,skis	A cikin dusar ƙanƙara.
Small baby.##person,bed,book	ƙaramar jaririya.
Crossing the river.##zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,giraffe	Tsallake kogi.
What color is the snow?##person,skis	Mene launin dusar ƙanƙara?
Food.##fork,bowl,dining table,cake,knife,carrot	Abinci
Where is the mouse?##tv,keyboard,mouse,chair,book,chair,book,book,book,sink	Ina linzamin kwamfutar?
Against fence.##person,person,person,person,bench,cell phone,bench,bench,cell phone,bench	A jikin shinge.
What is on the man's head?##person,person,person,skis,person,skis,person,person,skis,person	Mene a kan mutumin?
On the hill.##car,car,car,car,car,car,car,truck	A kan tudun.
Behind the woman.##person,person,person,chair,umbrella,person,umbrella,umbrella,person,person	A bayan matar.
What color is the bowl?##pizza,carrot,carrot,carrot,carrot,carrot	Wani launi ne kwanon?
What is red on the plate?##sandwich,broccoli,broccoli,dining table,broccoli,broccoli,cup,broccoli,sandwich	Menene ja a kwanon?
A girl.##person,person,person,surfboard,surfboard	Yarinya
Building with a red roof.##person,tennis racket,person,person,person,person,person,person,person,sports ball	Gini me jan rufi.
Where are these men riding?##horse,horse,person,person	Ina mazan nan suke tafiya?
Elephant.##elephant,elephant,elephant,elephant,elephant,person,person,person,elephant,person	Giwa.
How is the dog?##dog,sheep	Ya karen yake?
Who is on top the tv?##cat,tv,person,person	Waye a saman talabijin din?
ques_en##	ques_ha
On the place.##pizza,carrot	A kan gurin.
To eat.##bear	Don cin abinci.
What color are the flowers on the bush in the background?##horse,person	Wani launi ne furannin dake cikin daji a kasan bayan?
Light brown.##bed,chair,bed,bed,cup,bed,refrigerator	Ruwan ƙasa mai haske.
What is on the mountain?##person,skis,kite	Menene a kan dutsen?
What is the girl doing?##person,remote,cup,remote,toothbrush,cup,chair,chair	Me yarinyar takeyi?
Nobody.##person,car,car,car,car,car,car,car,skateboard,car	Bakowa.
How many horses are there?##horse,horse,horse,person,horse,umbrella,person,person,person,person	Dawakai nawane a nan?
What is black object under plate and glass?##fork,cup,knife,wine glass,dining table,fork,cup,fork,vase,bowl	Wani baƙin abu ne a ƙasan faranti da kofin gilashi?
Where are the cows?##cow,cow,cow,cow,cow,cow	Ina shanun suke?
Where is the man?##boat,person	Ina mutumin?
In the man's hand.##person,frisbee,person,backpack,person	A hannun mutumin.
Black.##snowboard,person	Baƙi.
Where is the building?##cow,bench,surfboard,baseball bat,cake,cow	Ina ginin yake?
The people.##bench,person,person,person,person	Mutane ne.
A dog.##person,person,person,sports ball,tennis racket,tennis racket,tennis racket,tennis racket,baseball bat,tennis racket	Kare.
Where is the cheese?##pizza,broccoli,dining table	Ina cikwin yake?
What is the sheet color?##laptop,cat,bottle,bed,book,cup,keyboard,book,cell phone,bed	Menene launin shimfiɗan?
In front of the bench.##bench,boat,boat,boat,boat,boat,boat,boat,boat,boat	A gaban bencin.
When is this?##sink,toilet,sink	Yaushe ne wannan?
What time of day is it?##person,person,person,person,person,traffic light,person,person,traffic light,person	Wanne lokaci ne a rana ?
How many train windows are pictured?##train	Tagogin jirgin ƙasa nawa ne a hoton?
Yogurt Thickies.##cow,person,person,person,person,person,person,person,backpack,backpack	Yogurt thickies.
What is the floor made of?##potted plant,chair,chair,chair,vase,chair,bowl,book,dining table,tv	Da me akayi ƙasan ɗakin?
The man's partner.##person,person,tennis racket,sports ball	Abokin tarayya sa.
White.##person,dog,couch,couch,vase	Fara.
Snow.##person,snowboard,bird	Dusar ƙanƙara.
How are the surfboards positioned?##surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard	Yaya aka sanya allunan hawan igiyar ruwan?
What snacks are shown?##person,microwave,person,bottle,bottle,bottle,cup,bowl,vase,dining table	Wasu kayan ciye-ciye aka nuna?
Elephants.##elephant,elephant	Giwa.
On a plate.##pizza,cup,fork,person,person,knife,dining table,person	Akan faranti.
What is the track number seen?##train,train,car,train	Wacce lamba nuni ake gani?
When was this taken?##airplane,truck	A ina aka ɗauki wannan?
What color is the street?##car,traffic light,car,traffic light,traffic light,traffic light,traffic light,traffic light,car,car	Mene launin titin?
What is the stool made of?##bench,suitcase	Da me akayi kujerar?
Casually.##person,cell phone,person	Na yau da kullum.
What is the dog laying on?##bed,dog	A kan me karen yake kwance?
